,Language,hemisphere,subject,model,accuracy
0,French,left,sub-001,acoustic,0.0022030586470650425
1,French,right,sub-001,acoustic,0.0023618264527060793
2,French,left,sub-004,acoustic,0.0015530070111208546
3,French,right,sub-004,acoustic,0.0022901545502838523
4,French,left,sub-018,acoustic,0.001043936312913257
5,French,right,sub-018,acoustic,0.001116585340757186
6,French,left,sub-014,acoustic,0.003989557310237168
7,French,right,sub-014,acoustic,0.004129700493780648
8,French,left,sub-019,acoustic,0.002067295043512886
9,French,right,sub-019,acoustic,0.0015948561982792018
10,French,left,sub-021,acoustic,0.0019337138450420098
11,French,right,sub-021,acoustic,0.001978302022191038
12,French,left,sub-015,acoustic,0.0013821828752727046
13,French,right,sub-015,acoustic,0.00046851919379476775
14,French,left,sub-020,acoustic,0.0008775048132377382
15,French,right,sub-020,acoustic,0.0006427545308945512
16,French,left,sub-003,acoustic,0.0011982449642324177
17,French,right,sub-003,acoustic,0.0009458848990413563
18,French,left,sub-033,acoustic,0.001970263925721048
19,French,right,sub-033,acoustic,0.002217234189752696
20,French,left,sub-009,acoustic,0.001617504200937076
21,French,right,sub-009,acoustic,0.0016775054742759138
22,French,left,sub-029,acoustic,0.002210115576664641
23,French,right,sub-029,acoustic,0.0020744159476559104
24,French,left,sub-008,acoustic,0.0014706854977385268
25,French,right,sub-008,acoustic,0.004079581309741696
26,French,left,sub-030,acoustic,0.0024962089601896615
27,French,right,sub-030,acoustic,0.004228081121972119
28,French,left,sub-010,acoustic,0.0015378462428150817
29,French,right,sub-010,acoustic,0.002108796188597707
30,French,left,sub-013,acoustic,0.000631593667606898
31,French,right,sub-013,acoustic,0.0018402251351276899
32,French,left,sub-026,acoustic,0.0021209472998165455
33,French,right,sub-026,acoustic,0.002440818045630174
34,French,left,sub-017,acoustic,0.002052764425086536
35,French,right,sub-017,acoustic,0.005342838718674853
36,French,left,sub-027,acoustic,0.0008333968865890973
37,French,right,sub-027,acoustic,0.0009719391849988186
38,French,left,sub-032,acoustic,0.0021204142396512343
39,French,right,sub-032,acoustic,0.003379608256312592
40,French,left,sub-011,acoustic,0.0017106046584323693
41,French,right,sub-011,acoustic,0.001624934828904005
42,French,left,sub-025,acoustic,0.005568568292487823
43,French,right,sub-025,acoustic,0.003408971955675159
44,French,left,sub-028,acoustic,0.0013500889339324888
45,French,right,sub-028,acoustic,0.0018038167993703893
46,French,left,sub-023,acoustic,0.002209546122648571
47,French,right,sub-023,acoustic,0.0013385695698019773
48,French,left,sub-001,acoustic+phonemes,0.002210259483409561
49,French,right,sub-001,acoustic+phonemes,0.0023784289252984344
50,French,left,sub-004,acoustic+phonemes,0.0015699921605393638
51,French,right,sub-004,acoustic+phonemes,0.0022969220349782467
52,French,left,sub-018,acoustic+phonemes,0.0010464618123758305
53,French,right,sub-018,acoustic+phonemes,0.0011323769855152218
54,French,left,sub-014,acoustic+phonemes,0.004004104813153535
55,French,right,sub-014,acoustic+phonemes,0.0041619921644375345
56,French,left,sub-019,acoustic+phonemes,0.0020822217868021573
57,French,right,sub-019,acoustic+phonemes,0.0016201809797408012
58,French,left,sub-021,acoustic+phonemes,0.0019464531522754805
59,French,right,sub-021,acoustic+phonemes,0.0019883071634185785
60,French,left,sub-015,acoustic+phonemes,0.0013978996180837693
61,French,right,sub-015,acoustic+phonemes,0.0004699609833808679
62,French,left,sub-020,acoustic+phonemes,0.0008846685987877585
63,French,right,sub-020,acoustic+phonemes,0.0006406332239428207
64,French,left,sub-003,acoustic+phonemes,0.0012052940746430524
65,French,right,sub-003,acoustic+phonemes,0.0009552019722682426
66,French,left,sub-033,acoustic+phonemes,0.001973590088499403
67,French,right,sub-033,acoustic+phonemes,0.0022247508150970764
68,French,left,sub-009,acoustic+phonemes,0.0016389453583086193
69,French,right,sub-009,acoustic+phonemes,0.001694534113157988
70,French,left,sub-029,acoustic+phonemes,0.0022208215314576964
71,French,right,sub-029,acoustic+phonemes,0.002090827151178444
72,French,left,sub-008,acoustic+phonemes,0.0014889877732010785
73,French,right,sub-008,acoustic+phonemes,0.0041117491536933354
74,French,left,sub-030,acoustic+phonemes,0.002500345606388412
75,French,right,sub-030,acoustic+phonemes,0.004235640775040688
76,French,left,sub-010,acoustic+phonemes,0.001538597578932339
77,French,right,sub-010,acoustic+phonemes,0.002109068104146671
78,French,left,sub-013,acoustic+phonemes,0.0006321186231916636
79,French,right,sub-013,acoustic+phonemes,0.001839439089861307
80,French,left,sub-026,acoustic+phonemes,0.0021408509161722645
81,French,right,sub-026,acoustic+phonemes,0.002444744838588368
82,French,left,sub-017,acoustic+phonemes,0.002076458596722089
83,French,right,sub-017,acoustic+phonemes,0.00542638609706084
84,French,left,sub-027,acoustic+phonemes,0.0008355933048974734
85,French,right,sub-027,acoustic+phonemes,0.0009764551098096522
86,French,left,sub-032,acoustic+phonemes,0.0021578142755598138
87,French,right,sub-032,acoustic+phonemes,0.0034549308584687316
88,French,left,sub-011,acoustic+phonemes,0.0017433501072693974
89,French,right,sub-011,acoustic+phonemes,0.0016334415472828974
90,French,left,sub-025,acoustic+phonemes,0.00574332815005091
91,French,right,sub-025,acoustic+phonemes,0.0034360249633196543
92,French,left,sub-028,acoustic+phonemes,0.001354160732400349
93,French,right,sub-028,acoustic+phonemes,0.0018082891088710858
94,French,left,sub-023,acoustic+phonemes,0.0022369820803229395
95,French,right,sub-023,acoustic+phonemes,0.0013494971283351028
96,French,left,sub-001,acoustic+phonemes+surprisal,0.0022177617461254674
97,French,right,sub-001,acoustic+phonemes+surprisal,0.0023760134757763347
98,French,left,sub-004,acoustic+phonemes+surprisal,0.0015720764663572457
99,French,right,sub-004,acoustic+phonemes+surprisal,0.0022969310856920705
100,French,left,sub-018,acoustic+phonemes+surprisal,0.0010462904963474144
101,French,right,sub-018,acoustic+phonemes+surprisal,0.0011333200584961458
102,French,left,sub-014,acoustic+phonemes+surprisal,0.004005347849280007
103,French,right,sub-014,acoustic+phonemes+surprisal,0.004164376598330074
104,French,left,sub-019,acoustic+phonemes+surprisal,0.0020793319587673895
105,French,right,sub-019,acoustic+phonemes+surprisal,0.0016221381869595984
106,French,left,sub-021,acoustic+phonemes+surprisal,0.0019462280389301832
107,French,right,sub-021,acoustic+phonemes+surprisal,0.001988618049192609
108,French,left,sub-015,acoustic+phonemes+surprisal,0.0013980192318456802
109,French,right,sub-015,acoustic+phonemes+surprisal,0.0004658850579267135
110,French,left,sub-020,acoustic+phonemes+surprisal,0.0008811357999523236
111,French,right,sub-020,acoustic+phonemes+surprisal,0.0006331273262403905
112,French,left,sub-003,acoustic+phonemes+surprisal,0.0012015676700697243
113,French,right,sub-003,acoustic+phonemes+surprisal,0.000955962102010647
114,French,left,sub-033,acoustic+phonemes+surprisal,0.001966893438945545
115,French,right,sub-033,acoustic+phonemes+surprisal,0.002221889543931103
116,French,left,sub-009,acoustic+phonemes+surprisal,0.0016391319004191896
117,French,right,sub-009,acoustic+phonemes+surprisal,0.0016959259819135286
118,French,left,sub-029,acoustic+phonemes+surprisal,0.002218229046358745
119,French,right,sub-029,acoustic+phonemes+surprisal,0.00209159722512802
120,French,left,sub-008,acoustic+phonemes+surprisal,0.0014875910484729552
121,French,right,sub-008,acoustic+phonemes+surprisal,0.004115278467128565
122,French,left,sub-030,acoustic+phonemes+surprisal,0.0025004477011183563
123,French,right,sub-030,acoustic+phonemes+surprisal,0.0042323918433641305
124,French,left,sub-010,acoustic+phonemes+surprisal,0.00153470593154303
125,French,right,sub-010,acoustic+phonemes+surprisal,0.0021012893048886214
126,French,left,sub-013,acoustic+phonemes+surprisal,0.0006275856710852671
127,French,right,sub-013,acoustic+phonemes+surprisal,0.0018382989576856744
128,French,left,sub-026,acoustic+phonemes+surprisal,0.0021511176054674415
129,French,right,sub-026,acoustic+phonemes+surprisal,0.0024484143004740834
130,French,left,sub-017,acoustic+phonemes+surprisal,0.0020852949903728784
131,French,right,sub-017,acoustic+phonemes+surprisal,0.0054455852580542604
132,French,left,sub-027,acoustic+phonemes+surprisal,0.0008330249747751387
133,French,right,sub-027,acoustic+phonemes+surprisal,0.0009773420861717062
134,French,left,sub-032,acoustic+phonemes+surprisal,0.0021621176793442604
135,French,right,sub-032,acoustic+phonemes+surprisal,0.00345911411670979
136,French,left,sub-011,acoustic+phonemes+surprisal,0.0017609488041863415
137,French,right,sub-011,acoustic+phonemes+surprisal,0.0016333718294373105
138,French,left,sub-025,acoustic+phonemes+surprisal,0.005754103320184131
139,French,right,sub-025,acoustic+phonemes+surprisal,0.003438504479103174
140,French,left,sub-028,acoustic+phonemes+surprisal,0.0013508801785915823
141,French,right,sub-028,acoustic+phonemes+surprisal,0.0018030921306314593
142,French,left,sub-023,acoustic+phonemes+surprisal,0.0022325918293948565
143,French,right,sub-023,acoustic+phonemes+surprisal,0.0013482623592879226
144,French,left,sub-001,acoustic+phonemes+surprisal+entropy,0.0022194804703502243
145,French,right,sub-001,acoustic+phonemes+surprisal+entropy,0.002375296449511132
146,French,left,sub-004,acoustic+phonemes+surprisal+entropy,0.001586960445149768
147,French,right,sub-004,acoustic+phonemes+surprisal+entropy,0.0023000515937920208
148,French,left,sub-018,acoustic+phonemes+surprisal+entropy,0.0010488994980342088
149,French,right,sub-018,acoustic+phonemes+surprisal+entropy,0.0011331160563115724
150,French,left,sub-014,acoustic+phonemes+surprisal+entropy,0.004016242589274436
151,French,right,sub-014,acoustic+phonemes+surprisal+entropy,0.004165603676602695
152,French,left,sub-019,acoustic+phonemes+surprisal+entropy,0.0020782637322379815
153,French,right,sub-019,acoustic+phonemes+surprisal+entropy,0.0016272944972991871
154,French,left,sub-021,acoustic+phonemes+surprisal+entropy,0.0019520418078319197
155,French,right,sub-021,acoustic+phonemes+surprisal+entropy,0.00199532469137747
156,French,left,sub-015,acoustic+phonemes+surprisal+entropy,0.0013905328831814532
157,French,right,sub-015,acoustic+phonemes+surprisal+entropy,0.0004596510150569471
158,French,left,sub-020,acoustic+phonemes+surprisal+entropy,0.0008841715645755893
159,French,right,sub-020,acoustic+phonemes+surprisal+entropy,0.0006273702723347194
160,French,left,sub-003,acoustic+phonemes+surprisal+entropy,0.001196069403796534
161,French,right,sub-003,acoustic+phonemes+surprisal+entropy,0.0009560556648098099
162,French,left,sub-033,acoustic+phonemes+surprisal+entropy,0.001965758246244512
163,French,right,sub-033,acoustic+phonemes+surprisal+entropy,0.0022172961452934094
164,French,left,sub-009,acoustic+phonemes+surprisal+entropy,0.0016570435110527591
165,French,right,sub-009,acoustic+phonemes+surprisal+entropy,0.0017199201087915311
166,French,left,sub-029,acoustic+phonemes+surprisal+entropy,0.0022198602177993963
167,French,right,sub-029,acoustic+phonemes+surprisal+entropy,0.002100384723138568
168,French,left,sub-008,acoustic+phonemes+surprisal+entropy,0.001497994868088628
169,French,right,sub-008,acoustic+phonemes+surprisal+entropy,0.00412015030977553
170,French,left,sub-030,acoustic+phonemes+surprisal+entropy,0.002509113603049171
171,French,right,sub-030,acoustic+phonemes+surprisal+entropy,0.0042275498502110905
172,French,left,sub-010,acoustic+phonemes+surprisal+entropy,0.0015277164965428248
173,French,right,sub-010,acoustic+phonemes+surprisal+entropy,0.0020949035630186213
174,French,left,sub-013,acoustic+phonemes+surprisal+entropy,0.000624882441902709
175,French,right,sub-013,acoustic+phonemes+surprisal+entropy,0.0018343866386900246
176,French,left,sub-026,acoustic+phonemes+surprisal+entropy,0.0021807680965585086
177,French,right,sub-026,acoustic+phonemes+surprisal+entropy,0.002445374095228616
178,French,left,sub-017,acoustic+phonemes+surprisal+entropy,0.0021096246762371353
179,French,right,sub-017,acoustic+phonemes+surprisal+entropy,0.0056114484731207585
180,French,left,sub-027,acoustic+phonemes+surprisal+entropy,0.0008342902812141587
181,French,right,sub-027,acoustic+phonemes+surprisal+entropy,0.0009774976725344764
182,French,left,sub-032,acoustic+phonemes+surprisal+entropy,0.0021810127477308546
183,French,right,sub-032,acoustic+phonemes+surprisal+entropy,0.0034639040952397218
184,French,left,sub-011,acoustic+phonemes+surprisal+entropy,0.0017906455919698939
185,French,right,sub-011,acoustic+phonemes+surprisal+entropy,0.0016359565874202767
186,French,left,sub-025,acoustic+phonemes+surprisal+entropy,0.005842456724174233
187,French,right,sub-025,acoustic+phonemes+surprisal+entropy,0.003484657928370607
188,French,left,sub-028,acoustic+phonemes+surprisal+entropy,0.0013466992741450968
189,French,right,sub-028,acoustic+phonemes+surprisal+entropy,0.0017967534492010651
190,French,left,sub-023,acoustic+phonemes+surprisal+entropy,0.0022263907709586792
191,French,right,sub-023,acoustic+phonemes+surprisal+entropy,0.0013386572750532107
192,French,left,sub-001,acoustic+phonemes+surprisal+entropy+freq,0.0021997818328710617
193,French,right,sub-001,acoustic+phonemes+surprisal+entropy+freq,0.0023554641774134596
194,French,left,sub-004,acoustic+phonemes+surprisal+entropy+freq,0.0015820252485223643
195,French,right,sub-004,acoustic+phonemes+surprisal+entropy+freq,0.002288211619558997
196,French,left,sub-018,acoustic+phonemes+surprisal+entropy+freq,0.0010558639188867815
197,French,right,sub-018,acoustic+phonemes+surprisal+entropy+freq,0.0011403883690525758
198,French,left,sub-014,acoustic+phonemes+surprisal+entropy+freq,0.004004652771096541
199,French,right,sub-014,acoustic+phonemes+surprisal+entropy+freq,0.004150654959876475
200,French,left,sub-019,acoustic+phonemes+surprisal+entropy+freq,0.002051210718242661
201,French,right,sub-019,acoustic+phonemes+surprisal+entropy+freq,0.0016036772150565316
202,French,left,sub-021,acoustic+phonemes+surprisal+entropy+freq,0.0019636717334491223
203,French,right,sub-021,acoustic+phonemes+surprisal+entropy+freq,0.002005761991996327
204,French,left,sub-015,acoustic+phonemes+surprisal+entropy+freq,0.0013704368077061704
205,French,right,sub-015,acoustic+phonemes+surprisal+entropy+freq,0.0004288203636001247
206,French,left,sub-020,acoustic+phonemes+surprisal+entropy+freq,0.0008683615517472072
207,French,right,sub-020,acoustic+phonemes+surprisal+entropy+freq,0.0006173649110546078
208,French,left,sub-003,acoustic+phonemes+surprisal+entropy+freq,0.0011832638539235872
209,French,right,sub-003,acoustic+phonemes+surprisal+entropy+freq,0.0009436807234326601
210,French,left,sub-033,acoustic+phonemes+surprisal+entropy+freq,0.001943903108368843
211,French,right,sub-033,acoustic+phonemes+surprisal+entropy+freq,0.0022006705360518
212,French,left,sub-009,acoustic+phonemes+surprisal+entropy+freq,0.0016434835597855923
213,French,right,sub-009,acoustic+phonemes+surprisal+entropy+freq,0.0017012342475263825
214,French,left,sub-029,acoustic+phonemes+surprisal+entropy+freq,0.0022177338357524798
215,French,right,sub-029,acoustic+phonemes+surprisal+entropy+freq,0.002095312975972264
216,French,left,sub-008,acoustic+phonemes+surprisal+entropy+freq,0.001503177526734979
217,French,right,sub-008,acoustic+phonemes+surprisal+entropy+freq,0.004138681953928222
218,French,left,sub-030,acoustic+phonemes+surprisal+entropy+freq,0.002502873627225813
219,French,right,sub-030,acoustic+phonemes+surprisal+entropy+freq,0.004213548146813591
220,French,left,sub-010,acoustic+phonemes+surprisal+entropy+freq,0.0015014829109256883
221,French,right,sub-010,acoustic+phonemes+surprisal+entropy+freq,0.0020714978086855173
222,French,left,sub-013,acoustic+phonemes+surprisal+entropy+freq,0.0006184945852088253
223,French,right,sub-013,acoustic+phonemes+surprisal+entropy+freq,0.0018257964393219228
224,French,left,sub-026,acoustic+phonemes+surprisal+entropy+freq,0.00216693187285956
225,French,right,sub-026,acoustic+phonemes+surprisal+entropy+freq,0.0024246041927505585
226,French,left,sub-017,acoustic+phonemes+surprisal+entropy+freq,0.0021071997311476512
227,French,right,sub-017,acoustic+phonemes+surprisal+entropy+freq,0.005632505188120285
228,French,left,sub-027,acoustic+phonemes+surprisal+entropy+freq,0.0008348570014631376
229,French,right,sub-027,acoustic+phonemes+surprisal+entropy+freq,0.0009696777128598641
230,French,left,sub-032,acoustic+phonemes+surprisal+entropy+freq,0.002169850853523791
231,French,right,sub-032,acoustic+phonemes+surprisal+entropy+freq,0.003426208486941927
232,French,left,sub-011,acoustic+phonemes+surprisal+entropy+freq,0.001792850785852535
233,French,right,sub-011,acoustic+phonemes+surprisal+entropy+freq,0.0016303137818051963
234,French,left,sub-025,acoustic+phonemes+surprisal+entropy+freq,0.0058356122554730295
235,French,right,sub-025,acoustic+phonemes+surprisal+entropy+freq,0.0034644714649606084
236,French,left,sub-028,acoustic+phonemes+surprisal+entropy+freq,0.0013247195473892115
237,French,right,sub-028,acoustic+phonemes+surprisal+entropy+freq,0.0017761294067268395
